model,frac,k,dense,oracle,detector,static,random,codesign
A,0.5,512,3.4313374804517185,3.4311792850539486,3.50703441931215,6.9437916453376936,6.607265748373827,
A,0.375,384,3.4313374804517185,3.4314071214617905,3.658687504907014,10.11088996286153,9.485629533807687,
A,0.25,256,3.4313374804517185,3.424873572962286,4.053353756528234,16.31979394637466,15.033090951108663,
A,0.125,128,3.4313374804517185,3.5078481845522544,5.273211282610256,24.11377768331639,26.51840459619209,
A,0.0625,64,3.4313374804517185,4.185201761953072,7.562674670640354,24.25237017650849,35.72572830250848,
B,0.5,512,3.5913651176211006,3.5907727497782194,3.7847052941787807,6.100433847408875,13.852584084720531,3.668696956085773
B,0.375,384,3.5913651176211006,3.590749848990685,4.093905265816669,7.970155540361256,18.48507806787444,3.8295562696445415
B,0.25,256,3.5913651176211006,3.609675194642635,5.0487245549531865,11.806981291548215,24.808000526521408,4.366390810545775
B,0.125,128,3.5913651176211006,4.226541000096199,8.838160420474336,17.187252026423412,36.60989252516,7.8017484804445285
B,0.0625,64,3.5913651176211006,15.288112670594147,31.521687012939033,41.343225269311105,53.54284427844412,33.083394644345
